,IP,Traceroute,TTL,Latency,Delay
94,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.1,"[25.708, 26.42, 26.63, 27.079, 27.87]"
95,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.9,"[25.668, 26.722, 26.924, 27.423, 28.26]"
96,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.0,"[25.644, 26.433, 26.635, 26.892, 27.94]"
97,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.7,"[25.538, 26.113, 26.761, 27.074, 32.73]"
98,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.6,"[25.133, 25.978, 26.338, 26.983, 27.71]"
99,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.0,"[25.154, 25.806, 26.181, 26.872, 27.61]"
100,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.0,"[25.553, 27.44, 26.784, 27.433, 27.95]"
101,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.7,"[25.453, 26.196, 26.69, 27.265, 27.92]"
102,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.9,"[24.991, 25.978, 26.446, 26.811, 27.62]"
103,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.9,"[25.117, 25.841, 26.446, 26.828, 27.47]"
104,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.3,"[25.569, 26.342, 26.797, 27.391, 28.08]"
105,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.8,"[25.887, 27.305, 26.88, 27.683, 28.04]"
106,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,46.3,"[25.076, 25.928, 26.684, 26.939, 27.55]"
107,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.7,"[25.109, 25.899, 26.307, 26.747, 27.59]"
108,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.0,"[25.398, 26.19, 26.752, 26.923, 27.99]"
109,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.7,"[25.402, 32.429, 26.801, 26.871, 27.83]"
110,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.8,"[25.147, 26.056, 26.331, 26.599, 27.62]"
111,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.0,"[25.108, 25.855, 26.408, 26.537, 27.45]"
112,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.2,"[25.553, 26.599, 26.932, 27.133, 28.07]"
113,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.6,"[25.764, 26.388, 26.994, 27.193, 28.09]"
114,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.7,"[60.001, 26.212, 26.48, 26.633, 27.65]"
115,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.0,"[25.186, 26.011, 26.369, 26.72, 27.69]"
116,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.1,"[25.603, 26.374, 26.721, 27.04, 28.06]"
117,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.8,"[25.73, 26.641, 26.809, 27.133, 28.05]"
118,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,46.7,"[25.362, 25.849, 26.313, 26.622, 27.59]"
119,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,49.6,"[25.016, 25.926, 26.233, 26.704, 47.99]"
120,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.6,"[30.084, 26.162, 26.229, 26.576, 27.69]"
121,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.9,"[25.163, 26.027, 26.298, 26.696, 27.71]"
122,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.9,"[26.289, 26.487, 26.581, 26.914, 27.85]"
123,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.7,"[25.509, 26.179, 27.241, 26.915, 49.44]"
124,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.6,"[25.142, 26.302, 27.645, 26.91, 27.57]"
125,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.9,"[25.247, 26.002, 26.27, 26.842, 27.71]"
126,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.4,"[26.206, 27.938, 27.933, 28.264, 28.29]"
127,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.6,"[26.942, 26.802, 26.799, 27.02, 28.1]"
128,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.5,"[25.174, 25.843, 26.393, 26.635, 27.63]"
129,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.0,"[25.382, 25.855, 26.497, 26.7, 27.68]"
130,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.0,"[25.438, 26.413, 26.661, 27.015, 27.86]"
131,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.7,"[26.019, 26.348, 26.573, 26.884, 27.74]"
132,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.7,"[25.024, 25.769, 27.584, 26.472, 27.6]"
133,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.9,"[25.07, 26.079, 26.389, 26.758, 27.54]"
134,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.8,"[25.852, 26.395, 26.575, 27.014, 27.75]"
135,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.7,"[25.74, 26.285, 26.658, 27.066, 27.9]"
136,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.7,"[26.22, 26.25, 26.292, 26.58, 31.84]"
137,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.1,"[25.761, 31.997, 26.294, 26.611, 27.58]"
138,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.2,"[25.763, 26.356, 27.017, 27.012, 27.97]"
139,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.8,"[38.736, 27.417, 26.909, 27.049, 28.16]"
140,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.5,"[25.093, 26.0, 26.431, 26.672, 27.85]"
