,IP,Traceroute,TTL,Latency,Delay
99,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,118.0,"[4.561, 1.578, 44.317, 44.36, 119.809]"
100,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[1.538, 1.422, 46.007, 46.337, 119.274]"
101,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[6.659, 1.331, 44.278, 44.311, 119.143]"
102,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,118.0,"[0.906, 1.593, 44.325, 44.262, 118.133]"
103,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,118.0,"[1.36, 1.526, 44.29, 44.344, 118.918]"
104,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[1.103, 1.8, 44.232, 44.276, 119.476]"
105,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,120.0,"[18.079, 1.314, 52.267, 44.415, 119.455]"
106,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[0.827, 1.309, 44.242, 44.291, 118.754]"
107,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[1.143, 1.314, 44.213, 44.52, 119.155]"
108,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[0.92, 1.413, 51.644, 44.39, 119.718]"
109,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,118.0,"[1.254, 1.378, 46.449, 44.333, 119.638]"
110,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,120.0,"[2.781, 1.267, 44.198, 44.236, 117.464]"
111,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,120.0,"[0.958, 1.243, 48.58, 44.359, 118.095]"
112,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,118.0,"[1.244, 1.351, 44.227, 44.257, 119.114]"
113,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[3.587, 1.582, 80.649, 44.285, 118.833]"
114,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,118.0,"[1.051, 1.32, 44.184, 44.23, 119.826]"
115,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,118.0,"[0.959, 2.763, 44.282, 44.24, 117.572]"
116,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[0.94, 1.311, 44.255, 44.293, 132.57]"
117,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[1.626, 1.313, 44.394, 44.428, 118.369]"
